City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,birjand,32.8663,59.2211,19.74,42,78,3.84,IR,1715044184
84,tabuk,17.4189,121.4443,30.97,53,10,2.41,PH,1715044184
85,hawaiian paradise park,19.5933,-154.9731,23.91,86,100,2.06,US,1715044184
86,tsiombe,-25.3,45.4833,19.41,75,0,2.91,MG,1715044041
87,lobujya,27.95,86.8167,-8.24,84,99,1.8,NP,1715044185
88,selfoss,63.9331,-20.9971,4.47,76,100,8.66,IS,1715043932
89,ionia,42.9873,-85.0711,17.11,45,0,3.09,US,1715044185
90,keflavik,64.0049,-22.5624,4.95,87,75,10.8,IS,1715043965
91,lafayette,30.2335,-92.0668,27.01,83,20,2.57,US,1715043995
92,mitu,1.1983,-70.1733,24.43,88,100,0.85,CO,1715044185
93,fisterra,42.9049,-9.2629,10.97,86,4,4.49,ES,1715044185
94,horta,38.5333,-28.6333,17.79,94,13,7.15,PT,1715044111
95,callao,-12.0667,-77.15,22.62,77,0,4.12,PE,1715044026
96,nishifukuma,33.7667,130.4667,22.38,77,100,7.77,JP,1715044185
97,seryshevo,51.0933,128.3786,17.03,26,11,1.67,RU,1715044185
98,guatire,10.4762,-66.5427,23.96,97,90,0.76,VE,1715044185
99,posoltega,12.5448,-86.9799,28.6,66,93,1.78,NI,1715044185
100,peniche,39.3558,-9.3811,13.38,89,5,7.94,PT,1715044185
101,remire-montjoly,4.9167,-52.2667,27.02,94,100,3.09,GF,1715044185
102,tura,25.5198,90.2201,22.89,84,6,0.97,IN,1715044185
103,udachny,66.4167,112.4,-0.31,98,99,9.57,RU,1715044185
104,quepos,9.4236,-84.1652,27.96,78,19,0.87,CR,1715044009
105,dwarka,22.2394,68.9678,27.29,87,0,4.69,IN,1715044186
106,college,64.8569,-147.8028,2.26,89,100,2.57,US,1715044186
107,posto fiscal rolim de moura,-13.0833,-62.2667,26.69,72,60,0.99,BR,1715044186
108,newman,37.3138,-121.0208,22.38,42,8,1.79,US,1715044094
109,fort-shevchenko,44.5086,50.263,13.12,55,100,5.94,KZ,1715044186
110,metlili chaamba,32.2667,3.6333,25.99,12,100,2.46,DZ,1715044186
111,as sulayyil,20.4607,45.5779,26.14,19,0,4.84,SA,1715044186
112,mahwah,27.05,76.9333,31.62,19,0,2.98,IN,1715044186
113,sitka,57.0531,-135.33,8.94,66,75,8.23,US,1715044186
114,camana,-16.6228,-72.7111,19.62,90,86,3.45,PE,1715044186
115,vilyuchinsk,52.9306,158.4028,6.15,82,93,2.68,RU,1715044186
116,burutu,5.3509,5.5076,27.19,87,100,2.49,NG,1715044186
117,puerto baquerizo moreno,-0.9,-89.6,23.45,88,5,3.34,EC,1715044186
118,klyuchi,52.2667,79.1667,6.69,55,70,3.9,RU,1715044186
119,mejit,10.2753,170.8646,27.39,80,45,9.41,MH,1715044187
120,kodiak,57.79,-152.4072,6.73,81,100,5.14,US,1715044187
121,arraial do cabo,-22.9661,-42.0278,24.43,87,0,9.93,BR,1715044122
122,cockburn town,21.4612,-71.1419,25.39,85,15,9.86,TC,1715044090
123,tukrah,32.5341,20.5791,16.25,59,0,1.39,LY,1715044187
124,la ronge,55.1001,-105.2842,11.12,58,75,5.14,CA,1715044187
125,shimoda,34.6667,138.95,18.95,94,100,6.81,JP,1715044187
126,mattighofen,48.1031,13.1503,12.97,98,100,3.53,AT,1715044187
127,bukittinggi,-0.3091,100.3706,20.61,96,94,0.7,ID,1715044187
128,lamu,-2.2717,40.902,26.15,87,99,4.91,KE,1715044187
129,ushuaia,-54.8,-68.3,-2.18,97,100,1.4,AR,1715044188
130,isafjordur,66.0755,-23.124,1.58,92,95,3.89,IS,1715044188
131,khovd,48.0056,91.6419,17.51,34,99,0.24,MN,1715044188
132,hargeysa,9.56,44.065,21.57,69,100,1.81,SO,1715044188
133,swan hill,-35.3378,143.5544,18.9,44,0,3.54,AU,1715044077
134,niafunke,15.9322,-3.9906,29.6,13,17,1.39,ML,1715044188
135,punta arenas,-53.15,-70.9167,3.06,93,75,3.09,CL,1715043915
136,severo-yeniseyskiy,60.3725,93.0408,-0.24,88,99,4.92,RU,1715043893
137,hammerfest,70.6634,23.6821,-0.75,74,75,5.14,NO,1715044188
138,happy valley-goose bay,53.3168,-60.3315,4.12,79,8,2.45,CA,1715044188
139,martapura,-3.4167,114.85,28.89,76,46,0.46,ID,1715044188
140,quellon,-43.1167,-73.6167,5.66,92,100,2.14,CL,1715044188
141,kota belud,6.351,116.4305,30.51,57,3,1.07,MY,1715044188
142,tyuratam,45.6507,63.3156,16.85,37,84,2.48,KZ,1715044188
143,spanish wells,26.323,-81.7957,27.77,56,75,2.06,US,1715044188
144,ribeira brava,32.65,-17.0667,19.84,79,99,1.88,PT,1715044188
145,cole harbour,44.6724,-63.4751,9.97,93,100,2.24,CA,1715044060
146,qaqortoq,60.7167,-46.0333,-0.93,71,1,1.05,GL,1715044189
147,new norfolk,-42.7826,147.0587,15.51,58,3,0.82,AU,1715044189
148,cutral-co,-38.9469,-69.2089,12.73,10,100,4.02,AR,1715044189
149,ulladulla,-35.35,150.4667,16.52,73,24,3.15,AU,1715044189
150,hithadhoo,-0.6,73.0833,29.28,73,12,3.64,MV,1715044189
151,maxixe,-23.8597,35.3472,20.36,84,11,2.31,MZ,1715044189
152,saint-philippe,-21.3585,55.7679,23.77,79,31,5.85,RE,1715044189
153,cabo san lucas,22.8909,-109.9124,26.4,63,100,2.06,MX,1715044018
154,usinsk,65.9939,57.5281,-5.52,77,100,7.6,RU,1715044189
155,monteagudo,-19.8167,-63.9833,19.32,96,1,0.83,BO,1715044189
156,shagamu,6.8432,3.6478,26.21,89,100,0.51,NG,1715044189
157,choibalsan,48.0667,114.5,18.17,24,5,0.31,MN,1715044189
158,nemuro,43.3236,145.575,7.06,99,100,3.16,JP,1715043894
159,kadur,13.5533,76.0131,24.13,81,4,0.88,IN,1715044189
160,mili,6.0815,171.735,28.24,80,100,9.05,MH,1715044189
161,tazovsky,67.4667,78.7,-12.98,97,100,3.39,RU,1715044190
162,alice springs,-23.7,133.8833,16.75,59,64,3.6,AU,1715044190
163,nar'yan-mar,67.6713,53.087,-13.27,92,100,3.58,RU,1715044190
164,bac lieu,9.285,105.7244,30.96,61,5,4.59,VN,1715044190
165,faya-largeau,17.9257,19.1043,32.2,16,0,9.84,TD,1715044190
166,ta`u,-14.2336,-169.5144,28.81,81,100,5.0,AS,1715044190
167,bethanie,-26.4833,17.15,19.28,31,0,2.2,NA,1715044190
168,riversdale,18.1659,-76.9642,27.92,82,6,1.82,JM,1715043907
169,hamilton,39.1834,-84.5333,20.77,93,100,3.09,US,1715043966
170,sinazongwe,-17.2614,27.4618,22.75,55,0,1.16,ZM,1715044190
171,kayenta,36.7278,-110.2546,13.73,17,0,11.38,US,1715044190
172,zhangye,38.9342,100.4517,21.21,15,50,2.29,CN,1715044190
173,yemva,62.59,50.8594,-2.85,76,22,2.16,RU,1715044190
174,hirara,24.8,125.2833,25.4,79,96,7.42,JP,1715044190
175,sawang daen din,17.4753,103.4575,28.94,100,0,1.88,TH,1715044159
176,praia da vitoria,38.7333,-27.0667,19.31,94,100,10.61,PT,1715044190
177,queenstown,-31.8976,26.8753,13.86,43,0,2.36,ZA,1715044191
178,artvin,41.1667,41.8333,5.76,99,100,0.75,TR,1715044191
179,coquimbo,-29.9533,-71.3436,12.85,82,0,1.54,CL,1715044000
180,igarka,67.4667,86.5833,-6.66,89,98,6.26,RU,1715044191
181,valparaiso,-33.0393,-71.6273,7.8,76,0,2.57,CL,1715044042
182,north platte,41.1239,-100.7654,16.66,33,0,12.52,US,1715044191
183,anadyr,64.75,177.4833,-2.72,80,0,3.0,RU,1715044191
184,ghat,24.9647,10.1728,26.19,35,99,3.08,LY,1715044191
185,jiazi,22.8779,116.067,24.93,88,100,5.83,CN,1715044191
186,adrar,20.5022,-10.0711,29.61,8,9,2.96,MR,1715044191
187,ambodifotatra,-16.9833,49.85,25.33,76,12,8.72,MG,1715044041
188,morondava,-20.2833,44.2833,22.57,55,0,4.46,MG,1715044041
189,berdigestyakh,62.0989,126.6992,7.06,90,100,5.48,RU,1715044191
190,fort wellington,6.4,-57.6,26.71,86,99,4.17,GY,1715044191
191,napoleon,41.3923,-84.1252,16.23,56,47,4.13,US,1715044191
192,hasaki,35.7333,140.8333,19.22,78,100,11.74,JP,1715044191
193,kuusamo,65.9667,29.1833,-1.98,86,100,2.57,FI,1715044192
194,kayyerkan,69.3786,87.7439,-14.28,100,100,1.42,RU,1715044192
195,baikonur,45.6167,63.3167,16.97,37,80,2.41,KZ,1715044192
196,laojunmiao,39.8333,97.7333,17.08,18,0,2.92,CN,1715044192
197,esikhaleni,-28.871,31.8996,18.99,68,0,3.99,ZA,1715044192
198,constitucion,-35.3333,-72.4167,12.41,85,96,8.56,CL,1715044192
199,konarka,19.9,86.1167,26.76,81,26,5.89,IN,1715043980
200,codrington,-38.2667,141.9667,15.23,66,11,2.87,AU,1715044192
201,afaahiti,-17.75,-149.2833,29.93,86,82,9.28,PF,1715044192
